tray_number,timestamp,number_of_defected,number_of_good,number_of_missing,total_detected
Tray 1,1.8s,3,36,0,39
Tray 2,3.8s,1,38,1,39
Tray 3,5.8s,1,38,0,39
Tray 4,7.8s,2,35,2,37
Tray 5,9.8s,2,36,0,38
Tray 6,11.8s,3,36,0,39
Tray 7,13.8s,1,38,1,39
Tray 8,15.8s,1,38,0,39
Tray 9,17.8s,2,35,2,37
Tray 10,19.8s,2,36,0,38
Tray 12,1.8s,3,36,0,39
Tray 13,3.8s,1,38,1,39
Tray 14,5.8s,1,38,0,39
Tray 15,7.8s,2,35,2,37
Tray 16,9.8s,2,36,0,38
Tray 17,11.8s,3,36,0,39
Tray 18,13.8s,1,38,1,39
Tray 19,15.8s,1,38,0,39
Tray 20,17.8s,2,35,2,37
Tray 21,19.8s,2,36,0,38
Tray 23,1.8s,3,36,0,39
Tray 24,3.8s,1,38,1,39
Tray 25,5.8s,1,38,0,39
Tray 26,7.8s,2,35,2,37
Tray 27,9.8s,2,36,0,38
Tray 28,11.8s,3,36,0,39
Tray 29,13.8s,1,38,1,39
Tray 30,15.8s,1,38,0,39
Tray 31,17.8s,2,35,2,37
Tray 32,19.8s,2,36,0,38
